ra,dec,inst_g,inst_r,std_g,std_r,std_g_r
301.34544200556127,35.8347294211673,-6.647658159585077,-11.91374419905253,17.93543086337935,11.485750202432595,6.449680660946755
301.3355006330722,35.814480773296204,-8.197192425763708,-12.096788170512289,15.95109681470761,11.093855545568672,4.857241269138936
301.3350555615684,35.81320148027522,-10.251958383878424,-13.2576126710902,13.611890086833505,9.796403447385934,3.8154866394475704
301.42372612826995,35.94300321175508,-7.968476992024941,-13.098391856887304,16.571284100013855,10.28029051010444,6.290993589909417
301.4976033804996,36.051236898693894,-6.97517322921147,-11.364897277757999,17.329068586048464,11.900656324313218,5.428412261735246
301.4193144842582,35.92539219060119,-7.290911848080369,-7.387867137317707,15.647425701299042,15.221591283449833,0.42583441784920867
301.4722281233982,36.00376955643943,-7.873668719067818,-8.732980469050691,15.307240932430009,13.992994453856916,1.3142464785730925
301.50375170897917,36.04982268166158,-8.262139599084383,-7.2985780254204515,14.33875501118172,15.148793862749233,-0.8100388515675148
301.4053042434072,35.903384440866866,-11.313842580353544,-11.395270747418746,11.619554436795756,11.211814549938742,0.40773988685701434
301.5043932587188,36.04892169870109,-8.65969498305609,-7.756700298500908,13.960471238806923,14.699928469393463,-0.739457230586539
301.39262486095845,35.882773147006695,-7.021824007669057,-7.807259070352627,16.135579024211207,14.90742473922803,1.2281542849831764
301.33575474368104,35.7978809396584,-8.12384976496359,-8.233100745843121,14.818400116667496,14.378236915221198,0.44016320144629884
301.3720833473642,35.84909920082471,-7.385359659511695,-8.220298523902335,15.787794850661538,14.501951313008771,1.2858435376527668
301.38805282390376,35.87203166734063,-7.207335266756577,-7.493358832460849,15.791161396669878,15.144996272960006,0.6461651237098729
301.4050405059619,35.89612712718892,-7.430603539999777,-7.550315336791273,15.514974839829065,15.062621127119684,0.4523537127093809
301.40492762113945,35.89619202382551,-7.47306289394475,-7.589615261587872,15.471510195826909,15.022838323706475,0.44867187212043413
301.4121513132221,35.904180923953724,-7.509098338943878,-8.232058803003643,15.628426072504205,14.473076557683262,1.1553495148209425
301.4756854153502,35.99770860880205,-7.417490876003034,-7.579132488704876,15.5414290364428,15.040212415006634,0.5012166214361655
301.3711713894904,35.84191109474913,-11.079211637970523,-11.020946119687823,11.809736630263643,11.564788772149557,0.24494785811408668
301.39486332669554,35.875483335632566,-6.766702687351062,-7.271719021670354,16.301474681843565,15.400106346949995,0.9013683348935708
301.4985672467732,36.02578126467188,-6.925002671413047,-7.075565245691742,16.030392032317263,15.542086367714495,0.4883056646027673
301.5013530881222,36.030276516446996,-9.734997117343362,-9.449238992064572,13.081565904963362,13.101726544235389,-0.02016063927202616
301.4026672286698,35.88328310701841,-6.952058094464285,-7.285092558194234,16.061396837100162,15.360447565892375,0.7009492712077874
301.4324557254159,35.927355347446884,-8.51952577371376,-9.193629699811748,14.602453110509401,13.504038559587118,1.0984145509222838
301.39152555127987,35.86609068941219,-9.090456133411488,-9.282905087035063,13.878266281974708,13.341148327444397,0.5371179545303119
301.4564889294634,35.95938630914166,-9.705595073628155,-9.733764297925337,13.210855627238592,12.86518104648555,0.3456745807530431
301.349149504712,35.799776859943904,-8.23668351735788,-8.390897069654654,14.719872881010355,14.22731254936964,0.49256033164071367
301.4556424949116,35.95705652736699,-10.516591690944146,-10.306228614713104,12.32396107432212,12.256260097221952,0.06770097710016773
301.44947038143204,35.947667780352084,-8.26282003372853,-8.44631066724069,14.703051958459636,14.176373581791658,0.5266783766679763
301.51729567043583,36.04769159353782,-9.151335974330603,-8.732411542445476,13.622855227721256,13.798201215269113,-0.17534598754785635
301.3920977067314,35.86001598636164,-7.1989649282077295,-7.416829709460259,15.777844479356649,15.211108191459344,0.5667362878973052
301.5180030999594,36.04647271764693,-10.4606402237125,-10.218740377171741,12.369877943485859,12.338928339978082,0.030949603507777146
301.34324176258605,35.786576814517105,-6.880827388545693,-7.56532181202629,16.244457619416078,15.133934502925134,1.110523116490944
301.3601733908331,35.811479988662185,-8.343117505355224,-8.535806931273168,14.625681425247869,14.088283236342185,0.5373981889056829
301.456301864082,35.9544269011038,-9.105566173909308,-9.309398183046758,13.866778184553008,13.316394986888891,0.5503831976641159
301.3852722337564,35.847782484301284,-9.567417305799435,-9.582995207112159,13.345026996693242,13.014025713506173,0.33100128318706934
301.3708232860437,35.82527580613009,-8.577713949294232,-8.814266489439484,14.405041664791511,13.816527598068854,0.5885140667226579
301.4304688786434,35.914298158099946,-6.77786680422117,-7.26178851858312,16.283598525960322,15.406812805304929,0.8767857206553926
301.5099618427177,36.03040941630829,-8.038971598817641,-8.093711554382807,14.885933569834682,14.50929478882072,0.37663878101396253
301.39644909663724,35.86167013749252,-7.565870404474255,-8.404500682347763,15.608458666386051,14.31831334022861,1.2901453261574407
301.4599754334866,35.95500054426494,-11.773526614028924,-11.746235628825179,11.125277355557536,10.844233326977832,0.2810440285797035
301.3533106895296,35.79615886010708,-7.9053781848775495,-8.167934586543685,15.085651526270542,14.466833860916406,0.6188176653541355
301.35297125480247,35.79486886239648,-8.37152859738345,-8.48659900340026,14.572572951100812,14.125628082882278,0.44694486821853396
301.3696034153866,35.82003954616726,-7.851611585942578,-8.205221325175083,15.168390135853617,14.443463468440237,0.7249266674133789
301.463853798601,35.95692406213031,-8.8517477347273,-9.587458433037348,14.28983363863276,13.11962563901072,1.17020799962204
301.42969526191024,35.901391156038,-9.697421362024093,-9.740446719236562,13.223756370849555,12.860769196398872,0.3629871744506835
301.36694856627986,35.80619075110321,-7.062030103287991,-7.387039873268494,15.948871473078604,15.257273778302203,0.6915976947764015
