id,ra,dec,ra_error,dec_error,nobs_b,mag_b,err_mag_b,nobs_v,mag_v,err_mag_v,nobs_u,mag_u,err_mag_u,nobs_g,mag_g,err_mag_g,nobs_r,mag_r,err_mag_r,nobs_i,mag_i,err_mag_i,nobs_z_s,mag_z_s,err_mag_z_s,nobs_y,mag_y,err_mag_y
125-0723681,301.360585,35.589726,1.5277777e-05,0.00012277778,1,17.604,0.2,1,16.519,0.118,0,,,1,16.888,0.074,1,16.061,0.092,0,,,0,,,0,,
125-0723843,301.373294,35.582306,7.4166666e-05,5.222222e-05,2,15.046,0.001,2,14.137,0.002,0,,,2,14.569,0.007,2,13.837,0.009,2,13.471,0.003,1,13.161,0.117,0,,
125-0723835,301.372637,35.59122,0.0003538889,7.361111e-05,0,,,0,,,0,,,2,16.992,0.074,2,15.4,0.011,2,14.483,0.004,0,,,0,,
125-0724162,301.397154,35.574169,7.305556e-05,3.5e-05,1,16.947,0.097,1,15.4,0.044,0,,,1,16.121,0.097,1,14.876,0.054,1,14.018,0.046,0,,,0,,
125-0723849,301.373623,35.601092,1.7222223e-05,4.0555555e-05,0,,,0,,,0,,,1,16.79,0.072,1,15.837,0.071,1,15.427,0.107,0,,,0,,
125-0723724,301.364182,35.612353,6.6388886e-05,6.222222e-05,2,15.145,0.062,2,14.327,0.016,0,,,2,14.653,0.001,2,14.092,0.016,2,13.863,0.003,1,13.707,0.177,0,,
125-0723993,301.385298,35.598144,6.0277776e-05,6.694444e-05,0,,,0,,,0,,,1,16.946,0.098,1,16.234,0.119,1,15.691,0.155,0,,,0,,
125-0724099,301.392543,35.590687,4.2222222e-05,3.3055556e-05,2,15.47,0.042,2,13.202,0.056,0,,,2,14.351,0.059,2,12.242,0.036,3,10.527,0.013,1,9.483,0.007,0,,
125-0723914,301.378881,35.605816,5.166667e-05,3.361111e-05,2,13.752,0.021,2,13.059,0.008,0,,,2,13.356,0.019,2,12.874,0.021,2,12.672,0.004,1,12.746,0.071,0,,
125-0724141,301.395174,35.601984,4.611111e-05,4.166667e-05,2,14.527,0.005,2,14.124,0.015,0,,,2,14.239,0.009,2,14.073,0.016,2,14.063,0.004,0,,,0,,
125-0724332,301.410722,35.583118,3.75e-05,3.0277777e-05,2,15.033,0.032,2,14.329,0.057,0,,,2,14.659,0.01,2,14.027,0.033,2,13.627,0.042,0,,,0,,
125-0724521,301.424985,35.566571,7.138889e-05,7.111111e-05,1,17.726,0.215,1,16.338,0.095,0,,,1,16.896,0.066,1,15.811,0.065,1,15.254,0.097,0,,,0,,
